,company_name,specific_bean_origin,ref,review_date,cocoa_percentage,company_location,rating,broad_bean_origin,cluster,mode_cluster
0,A. Morin,Agua Grande,1876,2016,0.63,France,3.75,Sao Tome,0,2
1,A. Morin,Kpime,1676,2015,0.7,France,2.75,Togo,0,2
2,A. Morin,Atsane,1676,2015,0.7,France,3.0,Togo,0,2
3,A. Morin,Akata,1680,2015,0.7,France,3.5,Togo,0,2
4,A. Morin,Quilla,1704,2015,0.7,France,3.5,Peru,0,2
5,A. Morin,Carenero,1315,2014,0.7,France,2.75,Venezuela,0,2
6,A. Morin,Cuba,1315,2014,0.7,France,3.5,Cuba,0,2
7,A. Morin,Sur del Lago,1315,2014,0.7,France,3.5,Venezuela,0,2
8,A. Morin,Puerto Cabello,1319,2014,0.7,France,3.75,Venezuela,0,2
9,A. Morin,Pablino,1319,2014,0.7,France,4.0,Peru,0,2
10,A. Morin,Panama,1011,2013,0.7,France,2.75,Panama,1,2
11,A. Morin,Madagascar,1011,2013,0.7,France,3.0,Madagascar,0,2
12,A. Morin,Brazil,1011,2013,0.7,France,3.25,Brazil,0,2
13,A. Morin,Equateur,1011,2013,0.7,France,3.75,Ecuador,0,2
14,A. Morin,Colombie,1015,2013,0.7,France,2.75,Colombia,1,2
15,A. Morin,Birmanie,1015,2013,0.7,France,3.0,Burma,0,2
16,A. Morin,Papua New Guinea,1015,2013,0.7,France,3.25,Papua New Guinea,0,2
17,A. Morin,Chuao,1015,2013,0.7,France,4.0,Venezuela,0,2
18,A. Morin,Piura,1019,2013,0.7,France,3.25,Peru,0,2
19,A. Morin,Chanchamayo Province,1019,2013,0.7,France,3.5,Peru,0,2
20,A. Morin,Chanchamayo Province,1019,2013,0.63,France,4.0,Peru,0,2
21,A. Morin,Bolivia,797,2012,0.7,France,3.5,Bolivia,0,2
22,A. Morin,Peru,797,2012,0.63,France,3.75,Peru,0,2
23,Alain Ducasse,Trinite,1215,2014,0.65,France,2.75,Trinidad,0,2
24,Alain Ducasse,Vietnam,1215,2014,0.75,France,2.75,Vietnam,1,2
25,Alain Ducasse,Madagascar,1215,2014,0.75,France,3.0,Madagascar,1,2
26,Alain Ducasse,Chuao,1061,2013,0.75,France,2.5,Venezuela,1,2
27,Alain Ducasse,"Piura, Perou",1173,2013,0.75,France,2.5,Peru,1,2
28,Ara,Madagascar,1375,2014,0.75,France,3.0,Madagascar,1,2
29,Ara,Chiapas,1379,2014,0.72,France,2.5,Mexico,1,2
30,Ara,Equateur,1379,2014,0.75,France,2.75,Ecuador,1,2
31,Ara,Trincheras,1379,2014,0.75,France,3.0,Venezuela,1,2
32,Bernachon,Nature,797,2012,0.55,France,2.75,,2,2
33,Bonnat,Selva Maya,1912,2016,0.75,France,3.5,Mexico,0,2
34,Bonnat,Kaori,1339,2014,0.75,France,4.0,Brazil,0,2
35,Bonnat,"Los Colorados, Santo Domingo, Equateur",1418,2014,0.75,France,3.25,Dominican Republic,0,2
36,Bonnat,Surfin,1418,2014,0.65,France,3.75,"Venez,Africa,Brasil,Peru,Mex",0,2
37,Bonnat,Maragnam,1038,2013,0.75,France,3.5,Brazil,0,2
38,Bonnat,Gabon,1042,2013,0.75,France,3.25,Gabon,0,2
39,Bonnat,Cuba,629,2011,0.75,France,3.5,Cuba,0,2
40,Bonnat,"Cusco, Cacao Cusco",629,2011,0.75,France,3.5,Peru,0,2
41,Bonnat,Piura Blanco,629,2011,0.75,France,3.5,Peru,0,2
42,Bonnat,Libanio,629,2011,0.75,France,3.75,Brazil,0,2
43,Bonnat,Haiti,629,2011,0.75,France,4.0,Haiti,0,2
44,Bonnat,"Madagascar, 100% criollo",629,2011,0.75,France,4.0,Madagascar,0,2
45,Bonnat,Juliana,672,2011,0.75,France,3.5,Brazil,0,2
46,Bonnat,Jamaique,761,2011,0.75,France,3.25,Jamaica,0,2
47,Bonnat,Ivory Coast,331,2009,0.75,France,3.0,Ivory Coast,2,2
48,Bonnat,"Porcelana, Apotequil",336,2009,0.75,France,2.75,Peru,1,2
